pre,ACD_avg,ACD_max,ACD_sum,FOUT_avg,FOUT_max,FOUT_sum,MLOC_avg,MLOC_max,MLOC_sum,NBD_avg,NBD_max,NBD_sum,NOCU,NOF_avg,NOF_max,NOF_sum,NOI_avg,NOI_max,NOI_sum,NOM_avg,NOM_max,NOM_sum,NOT_avg,NOT_max,NOT_sum,NSF_avg,NSF_max,NSF_sum,NSM_avg,NSM_max,NSM_sum,PAR_avg,PAR_max,PAR_sum,TLOC_avg,TLOC_max,TLOC_sum,VG_avg,VG_max,VG_sum,post
1,0.5,1.0,1.0,1.2580645161290325,5.0,39.0,2.064516129032258,14.0,64.0,1.032258064516129,2.0,32.0,2.0,1.5,3.0,3.0,0.0,0.0,0.0,15.5,20.0,31.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967741935483871,2.0,30.0,71.5,116.0,143.0,1.2903225806451613,6.0,40.0,1
4,0.0,0.0,0.0,0.2317073170731707,9.0,19.0,0.7560975609756098,26.0,62.0,0.2317073170731707,3.0,19.0,13.0,0.1538461538461538,2.0,2.0,0.9230769230769232,1.0,12.0,5.384615384615385,18.0,70.0,0.0769230769230769,1.0,1.0,2.0,15.0,26.0,0.9230769230769232,12.0,12.0,0.6219512195121951,3.0,51.0,20.307692307692307,114.0,264.0,0.2804878048780488,5.0,23.0,0
23,0.0,0.0,0.0,1.7321937321937322,63.0,608.0,3.712250712250712,174.0,1303.0,0.8660968660968661,8.0,304.0,44.0,0.8478260869565217,7.0,39.0,0.4545454545454545,1.0,20.0,7.173913043478261,34.0,330.0,0.5454545454545454,1.0,24.0,0.9782608695652174,7.0,45.0,0.4565217391304347,13.0,21.0,0.6239316239316239,5.0,219.0,53.81818181818182,533.0,2368.0,1.3532763532763532,32.0,475.0,0
10,0.0555555555555555,1.0,1.0,4.206766917293233,127.0,1119.0,6.7293233082706765,218.0,1790.0,1.244360902255639,4.0,331.0,18.0,4.666666666666667,26.0,84.0,0.0,0.0,0.0,14.72222222222222,59.0,265.0,1.0,1.0,18.0,2.7777777777777777,29.0,50.0,0.0555555555555555,1.0,1.0,0.8007518796992481,4.0,213.0,146.61111111111111,1003.0,2639.0,2.481203007518797,54.0,660.0,0
37,0.0888888888888888,2.0,4.0,7.0570071258907365,53.0,2971.0,14.173396674584325,113.0,5967.0,2.152019002375297,10.0,906.0,45.0,1.6938775510204085,7.0,83.0,0.0444444444444444,1.0,2.0,6.979591836734694,31.0,342.0,0.9555555555555556,1.0,43.0,1.2857142857142858,18.0,63.0,1.5918367346938775,15.0,78.0,1.007125890736342,5.0,424.0,168.6,814.0,7587.0,3.8717339667458432,20.0,1630.0,0
8,0.0,0.0,0.0,3.22,19.0,322.0,5.59,33.0,559.0,1.44,3.0,144.0,9.0,5.1,8.0,51.0,0.0,0.0,0.0,10.0,19.0,100.0,1.0,1.0,9.0,1.8,4.0,18.0,0.0,0.0,0.0,0.87,4.0,87.0,108.33333333333331,176.0,975.0,2.22,9.0,222.0,0
1,0.0,0.0,0.0,3.7666666666666666,32.0,226.0,7.083333333333333,40.0,425.0,1.7666666666666666,8.0,106.0,5.0,5.4,13.0,27.0,0.0,0.0,0.0,12.0,27.0,60.0,1.0,1.0,5.0,0.6,2.0,3.0,0.0,0.0,0.0,0.6166666666666667,4.0,37.0,127.4,279.0,637.0,2.6,13.0,156.0,0
2,0.0,0.0,0.0,0.0289017341040462,2.0,5.0,0.0809248554913294,11.0,14.0,0.0289017341040462,2.0,5.0,8.0,5.625,45.0,45.0,0.875,1.0,7.0,21.125,127.0,169.0,0.125,1.0,1.0,1.25,8.0,10.0,0.5,4.0,4.0,0.8786127167630058,4.0,152.0,40.25,139.0,322.0,0.0404624277456647,4.0,7.0,0
2,0.0714285714285714,1.0,1.0,3.645933014354067,34.0,762.0,5.411483253588517,50.0,1131.0,1.3349282296650715,7.0,279.0,14.0,0.9333333333333332,3.0,14.0,0.0,0.0,0.0,12.6,60.0,189.0,1.0,1.0,14.0,0.3333333333333333,3.0,5.0,1.3333333333333333,16.0,20.0,1.354066985645933,4.0,283.0,129.71428571428572,715.0,1816.0,1.6794258373205742,11.0,351.0,0
1,0.3870967741935484,2.0,12.0,4.647321428571429,57.0,1041.0,7.450892857142857,86.0,1669.0,1.5267857142857142,7.0,342.0,31.0,0.303030303030303,3.0,10.0,0.032258064516129,1.0,1.0,4.666666666666667,18.0,154.0,0.967741935483871,1.0,30.0,0.696969696969697,4.0,23.0,2.121212121212121,56.0,70.0,1.03125,5.0,231.0,76.35483870967742,811.0,2367.0,2.4330357142857144,22.0,545.0,0
2,0.0833333333333333,1.0,1.0,3.065934065934066,38.0,558.0,6.989010989010989,60.0,1272.0,1.6868131868131868,6.0,307.0,12.0,3.95,26.0,79.0,0.3333333333333333,1.0,4.0,9.1,47.0,182.0,0.6666666666666666,1.0,8.0,2.25,40.0,45.0,0.0,0.0,0.0,0.8076923076923077,6.0,147.0,156.66666666666666,801.0,1880.0,2.3956043956043955,14.0,436.0,0
2,0.0,0.0,0.0,6.716981132075472,51.0,356.0,14.358490566037736,108.0,761.0,1.7169811320754718,7.0,91.0,10.0,1.0909090909090908,4.0,12.0,0.0,0.0,0.0,4.454545454545454,10.0,49.0,1.0,1.0,10.0,0.0909090909090909,1.0,1.0,0.3636363636363636,2.0,4.0,1.9056603773584904,12.0,101.0,102.9,452.0,1029.0,3.962264150943396,30.0,210.0,1
2,0.0,0.0,0.0,1.6597938144329898,19.0,483.0,2.7628865979381443,41.0,804.0,1.11340206185567,4.0,324.0,34.0,5.833333333333333,63.0,210.0,0.1764705882352941,1.0,6.0,7.75,133.0,279.0,0.8235294117647058,1.0,28.0,1.4444444444444444,45.0,52.0,0.3333333333333333,4.0,12.0,0.6666666666666666,3.0,194.0,55.38235294117647,555.0,1883.0,1.3780068728522337,8.0,401.0,0
1,0.0,0.0,0.0,2.253968253968254,28.0,142.0,3.4285714285714284,33.0,216.0,1.1428571428571428,3.0,72.0,11.0,1.0909090909090908,3.0,12.0,0.0,0.0,0.0,5.181818181818182,16.0,57.0,1.0,1.0,11.0,1.0909090909090908,7.0,12.0,0.5454545454545454,6.0,6.0,0.6984126984126984,3.0,44.0,40.18181818181818,97.0,442.0,1.4285714285714286,7.0,90.0,0
2,0.0,0.0,0.0,6.5,15.0,78.0,12.666666666666666,24.0,152.0,2.25,4.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,10.0,1.0,2.0,12.0,121.0,140.0,242.0,4.0,12.0,48.0,0
1,5.0,10.0,15.0,4.864864864864865,41.0,180.0,10.864864864864863,67.0,402.0,1.4054054054054057,3.0,52.0,3.0,7.666666666666667,11.0,23.0,0.0,0.0,0.0,12.333333333333334,23.0,37.0,1.0,1.0,3.0,12.0,29.0,36.0,0.0,0.0,0.0,0.5135135135135135,3.0,19.0,191.33333333333331,251.0,574.0,1.9189189189189189,7.0,71.0,0
26,0.15,2.0,3.0,7.716171617161716,70.0,2338.0,14.330033003300333,227.0,4342.0,1.7986798679867986,6.0,545.0,20.0,2.0,9.0,48.0,0.1,1.0,2.0,12.041666666666666,51.0,289.0,0.9,1.0,18.0,7.166666666666667,79.0,172.0,0.5833333333333334,7.0,14.0,1.0495049504950495,7.0,318.0,267.65,1327.0,5353.0,4.838283828382838,56.0,1466.0,1
26,0.1578947368421052,2.0,3.0,4.683673469387755,31.0,918.0,8.26530612244898,68.0,1620.0,1.760204081632653,5.0,345.0,19.0,1.368421052631579,5.0,26.0,0.0,0.0,0.0,5.2105263157894735,15.0,99.0,1.0,1.0,19.0,4.421052631578948,50.0,84.0,5.105263157894737,54.0,97.0,1.1683673469387754,5.0,229.0,118.94736842105264,781.0,2260.0,2.739795918367347,18.0,537.0,1
16,0.0,0.0,0.0,1.6555555555555554,43.0,596.0,3.583333333333333,67.0,1290.0,0.9527777777777776,5.0,343.0,31.0,1.1176470588235294,7.0,38.0,0.5483870967741935,1.0,17.0,9.823529411764708,46.0,334.0,0.4516129032258064,1.0,14.0,1.2647058823529411,10.0,43.0,0.7647058823529411,20.0,26.0,0.7444444444444445,5.0,268.0,68.06451612903226,569.0,2110.0,1.5888888888888888,18.0,572.0,0
7,0.0,0.0,0.0,1.0144927536231885,10.0,140.0,2.5,22.0,345.0,1.108695652173913,4.0,153.0,13.0,3.5384615384615383,9.0,46.0,0.0,0.0,0.0,10.615384615384617,21.0,138.0,1.0,1.0,13.0,0.9230769230769232,5.0,12.0,0.0,0.0,0.0,0.4420289855072464,2.0,61.0,56.0,195.0,728.0,1.4855072463768115,9.0,205.0,1
46,0.2142857142857142,3.0,3.0,4.348214285714286,58.0,487.0,6.892857142857143,62.0,772.0,1.8214285714285716,5.0,204.0,14.0,0.6666666666666666,4.0,10.0,0.2142857142857142,1.0,3.0,4.866666666666666,20.0,73.0,0.7857142857142857,1.0,11.0,3.6,20.0,54.0,2.6,23.0,39.0,0.8660714285714286,4.0,97.0,90.92857142857144,338.0,1273.0,2.4732142857142856,21.0,277.0,0
76,0.25,2.0,14.0,3.152,35.0,1182.0,4.344,72.0,1629.0,1.5093333333333334,6.0,566.0,56.0,0.7966101694915254,7.0,47.0,0.0,0.0,0.0,6.237288135593221,29.0,368.0,1.0,1.0,56.0,0.0508474576271186,2.0,3.0,0.1186440677966101,6.0,7.0,0.6986666666666667,4.0,262.0,54.08928571428572,208.0,3029.0,1.7466666666666666,11.0,655.0,1
87,1.4444444444444444,10.0,13.0,4.829181494661921,49.0,1357.0,7.202846975088968,79.0,2024.0,1.7437722419928825,7.0,490.0,9.0,4.0,36.0,60.0,0.0,0.0,0.0,18.4,152.0,276.0,1.1111111111111112,2.0,10.0,1.8666666666666667,16.0,28.0,0.3333333333333333,2.0,5.0,0.6441281138790036,4.0,181.0,324.22222222222223,1834.0,2918.0,2.2526690391459074,16.0,633.0,1
18,0.875,8.0,14.0,4.939597315436242,84.0,736.0,6.76510067114094,111.0,1008.0,1.5503355704697988,6.0,231.0,16.0,1.9523809523809523,9.0,41.0,0.0625,1.0,1.0,6.666666666666667,26.0,140.0,0.9375,1.0,15.0,1.0952380952380951,19.0,23.0,0.4285714285714285,2.0,9.0,0.6711409395973155,6.0,100.0,102.4375,379.0,1639.0,1.7651006711409396,15.0,263.0,1
6,0.25,1.0,1.0,2.4285714285714284,8.0,51.0,2.9047619047619047,11.0,61.0,1.4761904761904765,3.0,31.0,4.0,0.5,1.0,2.0,0.25,1.0,1.0,5.0,15.0,20.0,0.75,1.0,3.0,0.5,2.0,2.0,0.25,1.0,1.0,0.5714285714285714,1.0,12.0,33.0,92.0,132.0,1.4761904761904765,3.0,31.0,0
1,0.75,3.0,3.0,5.7368421052631575,18.0,109.0,7.421052631578948,37.0,141.0,1.894736842105263,6.0,36.0,4.0,0.5,1.0,2.0,0.0,0.0,0.0,4.75,8.0,19.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2105263157894737,4.0,23.0,57.0,79.0,228.0,2.0526315789473686,7.0,39.0,0
12,2.0,5.0,12.0,4.811881188118812,43.0,486.0,7.405940594059406,57.0,748.0,1.99009900990099,8.0,201.0,6.0,4.0,20.0,32.0,0.0,0.0,0.0,12.0,35.0,96.0,1.0,1.0,6.0,0.5,3.0,4.0,0.375,2.0,3.0,0.7920792079207921,4.0,80.0,187.66666666666663,450.0,1126.0,2.435643564356436,16.0,246.0,1
4,1.0,3.0,3.0,4.882352941176471,15.0,83.0,6.647058823529412,19.0,113.0,1.8823529411764703,5.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,8.0,17.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,2.0,14.0,62.66666666666666,69.0,188.0,2.0,6.0,34.0,0
17,2.25,5.0,9.0,5.855263157894737,26.0,445.0,11.210526315789474,55.0,852.0,2.4078947368421053,9.0,183.0,4.0,3.1666666666666665,10.0,19.0,0.0,0.0,0.0,12.666666666666666,43.0,76.0,1.0,1.0,4.0,0.3333333333333333,2.0,2.0,0.0,0.0,0.0,0.9605263157894736,5.0,73.0,288.25,659.0,1153.0,3.539473684210526,21.0,269.0,1
9,2.0,8.0,8.0,5.289473684210527,65.0,402.0,6.421052631578948,40.0,488.0,1.8157894736842104,5.0,138.0,4.0,3.8,14.0,19.0,0.0,0.0,0.0,15.2,43.0,76.0,1.0,1.0,4.0,1.0,5.0,5.0,0.0,0.0,0.0,0.7236842105263158,3.0,55.0,194.5,543.0,778.0,2.0789473684210527,9.0,158.0,1
49,0.5,4.0,7.0,2.635869565217391,89.0,485.0,3.527173913043478,89.0,649.0,1.1630434782608696,10.0,214.0,14.0,1.7333333333333334,15.0,26.0,0.6428571428571429,1.0,9.0,11.4,54.0,171.0,0.3571428571428571,1.0,5.0,7.066666666666666,95.0,106.0,0.7333333333333333,11.0,11.0,0.717391304347826,3.0,132.0,91.78571428571428,463.0,1285.0,1.309782608695652,10.0,241.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,20.0,1.0,1.0,4.0,0
10,0.5,1.0,1.0,3.6,16.0,54.0,6.0,18.0,90.0,1.4666666666666666,3.0,22.0,2.0,3.0,6.0,9.0,0.5,1.0,1.0,5.0,10.0,15.0,0.5,1.0,1.0,3.0,8.0,9.0,0.0,0.0,0.0,1.0,4.0,15.0,87.5,163.0,175.0,1.5333333333333334,4.0,23.0,1
22,2.333333333333333,4.0,14.0,6.696078431372549,67.0,683.0,10.009803921568627,93.0,1021.0,1.7843137254901962,5.0,182.0,6.0,7.5,13.0,45.0,0.0,0.0,0.0,17.0,30.0,102.0,1.0,1.0,6.0,0.8333333333333334,2.0,5.0,0.0,0.0,0.0,0.5882352941176471,2.0,60.0,250.33333333333331,417.0,1502.0,2.323529411764706,12.0,237.0,1
107,0.868421052631579,13.0,33.0,6.152492668621701,120.0,2098.0,9.586510263929618,129.0,3269.0,1.8797653958944285,6.0,641.0,38.0,1.8222222222222224,19.0,82.0,0.0789473684210526,1.0,3.0,6.0,52.0,270.0,0.9210526315789472,1.0,35.0,3.1333333333333333,74.0,141.0,1.5777777777777775,15.0,71.0,1.1348973607038124,8.0,387.0,126.3157894736842,1276.0,4800.0,2.80058651026393,34.0,955.0,1
101,0.4516129032258064,9.0,28.0,4.112847222222222,56.0,2369.0,6.78125,82.0,3906.0,1.7795138888888888,11.0,1025.0,62.0,1.6849315068493151,15.0,123.0,0.0,0.0,0.0,7.808219178082192,43.0,570.0,1.032258064516129,2.0,64.0,0.4383561643835616,14.0,32.0,0.0547945205479452,2.0,4.0,0.8229166666666666,5.0,474.0,101.53225806451611,507.0,6295.0,2.2777777777777777,23.0,1312.0,1
20,0.3636363636363636,4.0,4.0,5.233333333333333,50.0,471.0,7.533333333333333,50.0,678.0,1.6888888888888889,5.0,152.0,11.0,1.9166666666666667,11.0,23.0,0.0909090909090909,1.0,1.0,7.416666666666667,32.0,89.0,0.9090909090909092,1.0,10.0,0.1666666666666666,2.0,2.0,0.0833333333333333,1.0,1.0,0.8666666666666667,3.0,78.0,97.72727272727272,450.0,1075.0,2.2888888888888888,13.0,206.0,1
60,0.9428571428571428,10.0,33.0,5.423076923076923,58.0,1551.0,8.818181818181818,102.0,2522.0,1.8461538461538465,6.0,528.0,35.0,2.6153846153846154,15.0,102.0,0.0571428571428571,1.0,2.0,7.051282051282051,35.0,275.0,0.9428571428571428,1.0,33.0,0.1538461538461538,2.0,6.0,0.282051282051282,4.0,11.0,0.8251748251748252,6.0,236.0,109.51428571428572,518.0,3833.0,2.36013986013986,21.0,675.0,1
44,0.6666666666666666,8.0,12.0,5.057591623036649,45.0,966.0,8.00523560209424,71.0,1529.0,1.848167539267016,10.0,353.0,18.0,2.857142857142857,17.0,60.0,0.0555555555555555,1.0,1.0,8.333333333333334,60.0,175.0,0.9444444444444444,1.0,17.0,0.4761904761904761,4.0,10.0,0.7619047619047619,8.0,16.0,0.743455497382199,4.0,142.0,129.38888888888889,921.0,2329.0,2.3821989528795813,20.0,455.0,1
3,0.7777777777777778,5.0,7.0,4.753424657534247,34.0,347.0,10.164383561643836,60.0,742.0,1.63013698630137,6.0,119.0,9.0,2.071428571428572,9.0,29.0,0.2222222222222222,1.0,2.0,4.857142857142857,24.0,68.0,0.7777777777777778,1.0,7.0,3.642857142857143,29.0,51.0,0.3571428571428571,3.0,5.0,0.6164383561643836,3.0,45.0,115.77777777777776,306.0,1042.0,2.767123287671233,17.0,202.0,1
3,0.3333333333333333,1.0,2.0,3.055555555555556,12.0,165.0,5.185185185185185,28.0,280.0,1.4074074074074074,4.0,76.0,6.0,1.5,5.0,9.0,0.0,0.0,0.0,5.333333333333333,10.0,32.0,1.0,1.0,6.0,14.333333333333334,76.0,86.0,3.6666666666666665,15.0,22.0,0.7407407407407407,3.0,40.0,96.33333333333331,250.0,578.0,1.648148148148148,5.0,89.0,0
3,1.72,14.0,43.0,6.271604938271605,94.0,1524.0,10.637860082304528,190.0,2585.0,1.6872427983539096,6.0,410.0,25.0,3.566666666666667,26.0,107.0,0.04,1.0,1.0,7.166666666666667,35.0,215.0,0.96,1.0,24.0,4.466666666666667,35.0,134.0,0.9333333333333332,26.0,28.0,0.8888888888888888,4.0,216.0,151.28,827.0,3782.0,2.2016460905349797,22.0,535.0,0
6,0.1481481481481481,2.0,4.0,1.5461847389558232,21.0,385.0,3.136546184738956,41.0,781.0,1.285140562248996,5.0,320.0,27.0,1.3928571428571428,5.0,39.0,0.2222222222222222,1.0,6.0,8.214285714285714,43.0,230.0,0.7777777777777778,1.0,21.0,0.4642857142857143,4.0,13.0,0.6785714285714286,15.0,19.0,0.7228915662650602,4.0,180.0,57.888888888888886,224.0,1563.0,1.4337349397590362,8.0,357.0,0
0,0.0,0.0,0.0,0.3269230769230769,4.0,17.0,0.903846153846154,3.0,47.0,0.8269230769230769,1.0,43.0,14.0,0.2857142857142857,4.0,4.0,0.0714285714285714,1.0,1.0,3.7142857142857135,20.0,52.0,0.9285714285714286,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7115384615384616,2.0,37.0,16.5,73.0,231.0,0.8269230769230769,1.0,43.0,0
0,0.0,0.0,0.0,2.946428571428572,25.0,165.0,7.035714285714286,73.0,394.0,1.3928571428571428,4.0,78.0,9.0,2.6666666666666665,7.0,24.0,0.0,0.0,0.0,5.444444444444445,14.0,49.0,1.0,1.0,9.0,0.8888888888888888,4.0,8.0,0.7777777777777778,5.0,7.0,1.0714285714285714,5.0,60.0,68.55555555555556,147.0,617.0,2.857142857142857,15.0,160.0,0
3,0.5,1.0,1.0,5.0,25.0,70.0,7.928571428571429,49.0,111.0,1.5,4.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,1.0,1.0,2.0,10.0,17.0,20.0,4.0,6.0,8.0,0.7142857142857143,2.0,10.0,100.0,137.0,200.0,1.4285714285714286,3.0,20.0,0
0,1.0,2.0,3.0,4.166666666666667,14.0,75.0,7.555555555555555,27.0,136.0,1.5555555555555556,4.0,28.0,3.0,2.333333333333333,4.0,7.0,0.0,0.0,0.0,6.0,7.0,18.0,1.0,1.0,3.0,2.333333333333333,4.0,7.0,0.0,0.0,0.0,0.4444444444444444,2.0,8.0,75.66666666666667,84.0,227.0,1.8333333333333333,4.0,33.0,0
2,1.1176470588235294,7.0,19.0,3.01010101010101,24.0,596.0,5.484848484848484,56.0,1086.0,1.4242424242424243,4.0,282.0,17.0,2.5357142857142856,11.0,71.0,0.1176470588235294,1.0,2.0,6.964285714285714,43.0,195.0,0.8823529411764706,1.0,15.0,1.1071428571428572,12.0,31.0,0.1071428571428571,2.0,3.0,0.7626262626262627,4.0,151.0,105.23529411764706,327.0,1789.0,1.7727272727272727,9.0,351.0,0
5,0.5,2.0,3.0,6.023809523809524,36.0,253.0,11.095238095238097,70.0,466.0,1.5952380952380951,4.0,67.0,6.0,5.166666666666667,8.0,31.0,0.0,0.0,0.0,7.0,10.0,42.0,1.0,1.0,6.0,0.5,3.0,3.0,0.0,0.0,0.0,1.0476190476190477,4.0,44.0,109.5,236.0,657.0,2.4285714285714284,18.0,102.0,0
5,5.5,13.0,33.0,5.412162162162162,58.0,801.0,10.68918918918919,100.0,1582.0,1.7162162162162162,5.0,254.0,6.0,3.35,26.0,67.0,0.1666666666666666,1.0,1.0,7.4,34.0,148.0,0.8333333333333334,1.0,5.0,2.65,21.0,53.0,0.0,0.0,0.0,0.7094594594594594,3.0,105.0,361.0,854.0,2166.0,2.5472972972972974,17.0,377.0,0
11,1.6,5.0,24.0,5.0,45.0,710.0,9.528169014084508,71.0,1353.0,1.704225352112676,5.0,242.0,15.0,2.36,10.0,59.0,0.0,0.0,0.0,5.36,16.0,134.0,1.0,1.0,15.0,2.68,13.0,67.0,0.32,4.0,8.0,0.8169014084507042,4.0,116.0,137.66666666666666,350.0,2065.0,2.211267605633803,9.0,314.0,0
20,1.4210526315789471,15.0,27.0,2.4312796208530805,34.0,513.0,5.729857819905213,97.0,1209.0,1.3507109004739335,7.0,285.0,19.0,3.5217391304347827,23.0,81.0,0.4210526315789473,1.0,8.0,8.391304347826088,34.0,193.0,0.5789473684210527,1.0,11.0,0.9565217391304348,8.0,22.0,0.7391304347826086,12.0,17.0,0.8815165876777251,4.0,186.0,104.26315789473684,641.0,1981.0,2.090047393364929,20.0,441.0,1
21,5.166666666666667,24.0,31.0,6.425,103.0,1285.0,13.2,140.0,2640.0,1.755,6.0,351.0,6.0,10.363636363636363,63.0,114.0,0.5,1.0,3.0,17.272727272727273,90.0,190.0,0.5,1.0,3.0,1.7272727272727273,13.0,19.0,0.9090909090909092,9.0,10.0,1.4,14.0,280.0,549.1666666666666,2632.0,3295.0,4.3,40.0,860.0,0
30,0.5185185185185185,7.0,28.0,3.4882075471698117,30.0,1479.0,7.233490566037735,76.0,3067.0,1.6108490566037736,6.0,683.0,54.0,2.257575757575758,12.0,149.0,0.0925925925925925,1.0,5.0,5.333333333333333,42.0,352.0,0.9074074074074074,1.0,49.0,1.121212121212121,28.0,74.0,1.0909090909090908,30.0,72.0,1.153301886792453,6.0,489.0,86.57407407407408,540.0,4675.0,2.5966981132075477,21.0,1101.0,1
15,1.5,6.0,18.0,6.284671532846716,41.0,861.0,13.291970802919709,92.0,1821.0,2.1094890510948905,8.0,289.0,12.0,4.466666666666667,14.0,67.0,0.0,0.0,0.0,8.666666666666666,31.0,130.0,1.0,1.0,12.0,1.4,9.0,21.0,0.4666666666666667,2.0,7.0,1.0218978102189782,5.0,140.0,194.33333333333331,754.0,2332.0,3.832116788321168,30.0,525.0,1
